"",DEM,REP,GRN,LIB,WCP,BAR,UNAF,OTH,TOTAL,DUPS
ABSENTEE BALLOT (FPCA),1329,318,4,10,6,2,352,25,"2,046","9,145"
BY MAIL,1465,646,5,6,4,1,532,22,"2,681",414
DESIGNATED STATE AGENCIES,420,99,1,1,6,1,206,64,798,19
ELDERLY / DISABLED / SOC SEC,3467,970,11,40,14,9,1474,171,"6,156",14
ERIC REPORT,3,2,0,0,0,0,1,0,6,2
FROM ANOTHER BOARD,0,0,0,0,0,0,0,0,0,0
PROVISIONAL BALLOT,1,1,0,0,0,0,1,0,3,0
IN PERSON,187,116,1,0,0,0,75,1,380,24
MOTOR VEHICLE ADMINISTRATION,9917,3754,25,88,35,5,5457,131,"19,412",981
NVRA BY MAIL,88,63,1,0,0,0,39,0,191,19
ONLINE REGISTRATION,13314,5539,88,230,92,17,7106,197,"26,583",210
OTHER MEANS,227,48,2,0,0,0,78,5,360,368
RECRUITING,0,1,0,0,0,0,1,0,0,0
SAME DAY PROVISIONAL,1,0,0,0,0,0,0,0,1,0
SOCIAL SERVICES,0,1,0,0,0,0,0,0,1,0
VOLUNTEER,2414,1209,18,47,58,4,1265,51,"5,066",4
TOTAL,"32,833","12,767",156,422,215,39,"16,235",667,"63,684","11,200"
