US Senate (Loeffler) - Special,,,,,,,,,,,,
,,Kelly Loeffler (I) (Rep),,,,,Raphael Warnock (Dem),,,,,
County,Registered Voters,Election Day Votes,Absentee by Mail Votes,Advanced Voting Votes,Provisional Votes,Total Votes,Election Day Votes,Absentee by Mail Votes,Advanced Voting Votes,Provisional Votes,Total Votes,Total
Appling,11664,2365,666,2656,3,5690,391,494,710,1,1596,7286
Atkinson,4877,936,132,857,1,1926,262,111,349,0,722,2648
Bacon,6720,833,385,2353,1,3572,162,145,252,0,559,4131
Baker,2275,384,104,327,0,815,153,207,260,5,625,1440
Baldwin,27088,2399,1031,4468,1,7899,1871,2598,4096,4,8569,16468
Banks,0,2247,718,3601,20,6586,192,324,339,5,860,7446
Barrow,56819,8253,2968,11439,0,22660,2220,3181,4016,0,9417,32077
Bartow,75882,13254,4241,14540,14,32049,2751,3959,4209,9,10928,42977
Ben Hill,10087,897,386,2247,3,3533,440,601,1152,0,2193,5726
Berrien,11574,2352,549,2637,1,5539,393,295,457,0,1145,6684
Bibb,110190,10706,3984,8834,31,23555,10503,12384,16960,125,39972,63527
Bleckley,7743,1331,461,2106,0,3898,326,391,497,0,1214,5112
Brantley,11281,2556,462,2980,1,5999,170,175,268,0,613,6612
Brooks,0,1723,369,1655,14,3761,571,954,925,5,2455,6216
Bryan,31344,3960,1099,7523,14,12596,1083,1716,3204,6,6009,18605
Bulloch,46303,8057,2219,5989,22,16287,2622,3291,3913,22,9848,26135
Burke,16793,2312,435,2055,2,4804,1555,1316,1820,4,4695,9499
Butts,0,1893,822,4468,0,7183,594,840,1592,0,3026,10209
Calhoun,3269,305,107,414,0,826,363,440,403,0,1206,2032
Camden,36003,5696,1558,5803,6,13063,1508,2328,2966,5,6807,19870
Candler,6474,847,273,1667,0,2787,213,336,582,0,1131,3918
Carroll,85118,15331,3422,13562,23,32338,4194,4205,6411,9,14819,47157
Catoosa,46767,7992,2470,11318,12,21792,1345,1972,2664,4,5985,27777
Charlton,0,1342,297,1306,2,2947,236,237,479,0,952,3899
Chatham,208027,23940,9654,15074,39,48707,21299,26724,24398,129,72550,121257
Chattahoochee,4102,331,70,319,0,720,156,137,307,1,601,1321
Chattooga,14472,2852,778,2917,3,6550,438,579,669,0,1686,8236
Cherokee,193679,40402,16078,32962,38,89480,10295,16387,11668,12,38362,127842
Clarke,78148,4686,3197,5114,12,13009,7118,12412,13615,42,33187,46196
Clay,2053,167,101,315,0,583,221,247,258,1,727,1310
Clayton,197305,3197,2957,5590,21,11765,20015,24105,46819,250,91189,102954
Clinch,4386,763,150,926,0,1839,206,109,301,0,616,2455
Cobb,0,67350,41243,45968,153,154714,49206,86298,68055,317,203876,358590
Coffee,25502,3277,564,5284,12,9137,1241,671,2166,4,4082,13219
Colquitt,25610,5079,927,4317,7,10330,1118,1014,1592,3,3727,14057
Columbia,109715,17828,5386,22358,16,45588,5985,8474,12075,11,26545,72133
Cook,10887,1521,357,2432,0,4310,545,483,867,0,1895,6205
Coweta,103616,21887,7599,15967,9,45462,5688,8967,7159,11,21825,67287
Crawford,8691,1501,414,1951,3,3869,326,466,710,0,1502,5371
Crisp,12792,1360,580,2495,1,4436,654,727,1321,0,2702,7138
Dade,11962,2224,465,2534,4,5227,291,340,480,0,1111,6338
Dawson,21924,3311,1610,7179,13,12113,359,928,985,2,2274,14387
Decatur,17123,2340,638,2939,9,5926,964,1235,1915,7,4121,10047
DeKalb,554852,17382,14020,23958,119,55479,47430,98008,147354,1110,293902,349381
Dodge,11662,2512,547,2097,4,5160,576,516,928,1,2021,7181
Dooly,5533,703,190,1034,5,1932,552,438,820,2,1812,3744
Dougherty,63299,5076,1766,2474,4,9320,6961,6951,8867,14,22793,32113
Douglas,102896,6128,3649,11953,13,21743,7642,12233,20718,37,40630,62373
Early,7461,976,289,1112,0,2377,723,594,855,0,2172,4549
Echols,2168,343,75,638,2,1058,35,15,78,0,128,1186
Effingham,45313,9365,1796,9520,1,20682,2025,2120,2988,4,7137,27819
Elbert,12589,2343,706,2444,38,5531,532,926,998,26,2482,8013
Emanuel,14141,2841,678,2262,6,5787,806,709,1054,0,2569,8356
Evans,6312,686,385,1468,0,2539,282,297,622,0,1201,3740
Fannin,20399,4801,1827,4358,18,11004,485,1096,855,0,2436,13440
Fayette,92285,11133,5773,19183,5,36094,5559,9506,16221,11,31297,67391
Floyd,61899,10983,3251,10673,52,24959,2914,3525,4386,9,10834,35793
Forsyth,166928,21295,10526,45554,76,77451,6805,13113,17725,44,37687,115138
Franklin,15440,3277,1133,3429,1,7840,365,534,446,0,1345,9185
Fulton,818555,38408,21445,73299,1039,134191,63207,90713,197464,3168,354552,488743
Gilmer,22781,5089,1727,5312,4,12132,506,1214,976,1,2697,14829
Glascock,2039,496,148,590,0,1234,43,41,46,0,130,1364
Glynn,62819,6915,3312,13180,41,23448,2523,4942,6487,29,13981,37429
Gordon,37176,7742,1924,6750,9,16425,1131,1352,1442,4,3929,20354
Grady,15083,2703,865,2654,4,6226,741,917,1444,0,3102,9328
Greene,14456,1415,995,4445,0,6855,788,1274,1692,4,3758,10613
Gwinnett,592342,50435,29172,65774,216,145597,46468,72098,105113,518,224197,369794
Habersham,28768,3754,2222,8793,7,14776,621,1135,1487,0,3243,18019
Hall,131260,19981,9388,27183,166,56718,5709,8136,8373,78,22296,79014
Hancock,5949,309,187,562,0,1058,640,1079,1055,6,2780,3838
Haralson,21062,5060,1337,4133,3,10533,434,637,555,0,1626,12159
Harris,26328,6460,1733,5060,5,13258,1374,1970,1689,1,5034,18292
Hart,17362,3265,1111,3975,3,8354,652,1036,1158,1,2847,11201
Heard,7901,1849,494,1531,3,3877,210,279,311,1,801,4678
Henry,174018,13127,5346,22290,61,40824,12700,15890,39825,161,68576,109400
Houston,108099,12821,6707,17084,32,36644,6288,11549,11885,27,29749,66393
Irwin,6169,929,264,1539,0,2732,254,178,453,0,885,3617
