US Senate (Vote For 1),,,,,,,,,,,,
,,Herschel Junior Walker (Rep),,,,,Raphael Warnock (I) (Dem),,,,,
County,Registered Voters,Election Day Votes,Absentee by Mail Votes,Advance Voting Votes,Provisional Votes,Total Votes,Election Day Votes,Absentee by Mail Votes,Advance Voting Votes,Provisional Votes,Total Votes,Total
Appling,0,2582,226,2235,0,5043,372,142,708,0,1222,6265
Atkinson,0,889,32,603,0,1524,205,28,252,0,485,2009
Bacon,0,937,82,2028,0,3047,128,35,277,0,440,3487
Baker,0,320,36,295,0,651,173,54,253,1,481,1132
Baldwin,0,2926,283,3645,0,6854,2323,604,4080,0,7007,13861
Banks,0,2470,208,3150,0,5828,228,82,388,0,698,6526
Barrow,0,9689,629,7627,0,17945,3205,545,3699,0,7449,25394
Bartow,0,14550,915,11274,0,26739,3253,733,4560,0,8546,35285
Ben Hill,0,1065,64,1893,0,3022,483,98,1137,0,1718,4740
Berrien,0,2442,153,2111,0,4706,371,98,374,0,843,5549
Bibb,0,13072,904,4342,0,18318,16380,2836,11528,0,30744,49062
Bleckley,0,1485,133,1838,0,3456,399,116,496,0,1011,4467
Brantley,0,2852,104,2082,1,5039,199,35,233,0,467,5506
Brooks,0,1921,61,1226,0,3208,690,179,974,0,1843,5051
Bryan,0,4418,210,5614,2,10244,1516,345,3329,4,5194,15438
Bulloch,0,8501,437,4610,0,13548,3253,637,3870,0,7760,21308
Burke,0,2410,129,1607,0,4146,1646,332,1797,0,3775,7921
Butts,0,2138,192,3890,0,6220,607,176,1714,0,2497,8717
Calhoun,0,306,33,325,0,664,443,82,400,0,925,1589
Camden,0,5500,326,4997,0,10823,1915,607,3078,0,5600,16423
Candler,0,838,55,1448,0,2341,316,68,553,0,937,3278
Carroll,0,15782,668,11106,0,27556,4834,737,6414,0,11985,39541
Catoosa,0,8332,388,8161,0,16881,1792,379,2642,0,4813,21694
Charlton,0,1228,71,1075,3,2377,243,46,441,0,730,3107
Chatham,0,26702,1684,8343,0,36729,32848,5155,21665,0,59668,96397
Chattahoochee,0,270,18,180,0,468,175,31,228,0,434,902
Chattooga,0,3038,126,2336,0,5500,583,87,673,0,1343,6843
Cherokee,0,44839,3246,23689,0,71774,15721,3323,13077,0,32121,103895
Clarke,0,4618,703,4413,0,9734,9682,2163,15527,0,27372,37106
Clay,0,178,22,285,0,485,211,58,266,1,536,1021
Clayton,0,3944,478,3614,0,8036,26177,2723,37023,0,65923,73959
Clinch,0,800,32,682,0,1514,191,15,257,0,463,1977
Cobb,0,56112,5918,50554,0,112584,58748,10850,96092,0,165690,278274
Coffee,0,3589,146,4104,0,7839,1192,170,1786,0,3148,10987
